"word","sentiment"
"aventura","positive"
"aventura","trust"
"aventureiro","trust"
"adversário","positive"
"adversário","trust"
"desfavoraveis","anger"
"desfavoraveis","anticipation"
"desfavoraveis","joy"
"desfavoraveis","positive"
"desfavoraveis","trust"
"adversidade","trust"
"conselho","positive"
"aconselhável","joy"
"aconselhável","positive"
"aconselhar","positive"
"aconselhado","joy"
"aconselhado","positive"
"aconselhado","trust"
"conselheiro","positive"
"advocacy","positive"
"advocacy","trust"
"advogado","positive"
"estético","positive"
"estética","positive"
"estética","trust"
"afável","fear"
"afável","negative"
"afável","sadness"
"afeição","negative"
"afiliado","disgust"
"afiliado","fear"
"afiliado","negative"
"afiliado","sadness"
"afirmar","joy"
"afirmar","positive"
"afirmação","positive"
"afirmativa","positive"
"afirmativamente","anger"
"afirmativamente","disgust"
"afirmativamente","fear"
"afirmativamente","negative"
"afirmativamente","sadness"
"afirmativamente","surprise"
"afligir","fear"
"afligir","negative"
"afligido","anger"
"afligido","disgust"
"afligido","fear"
"afligido","negative"
"afligido","sadness"
"aflição","negative"
"afluência","fear"
"afluência","positive"
"afluência","trust"
"afluente","anger"
"afluente","negative"
"proporcionar","anger"
"proporcionar","negative"
"proporcionar","sadness"
"afronta","anger"
"afronta","disgust"
"afronta","negative"
"receoso","anger"
"receoso","fear"
"receoso","negative"
"rescaldo","anger"
"rescaldo","fear"
"rescaldo","negative"
"aftertaste","anger"
"aftertaste","fear"
"aftertaste","negative"
"aga","disgust"
"aga","fear"
"aga","negative"
"aga","surprise"
"agravado","positive"
"agravante","positive"
"agravamento","anger"
"agravamento","negative"
"agressão","anger"
"agressão","negative"
"agressivo","fear"
"agressivo","negative"
"agressor","anger"
"agressor","fear"
"agressor","negative"
"agressor","sadness"
"horrorizado","positive"
"ágil","positive"
"ágil","trust"
"agilidade","positive"
"agilidade","trust"
"agitado","positive"
"agitado","trust"
"agitação","positive"
"agitação","trust"
"agonizante","positive"
"agonia","negative"
"aceita","positive"
"agradável","positive"
"acordado","positive"
"concordando","negative"
"concordando","sadness"
"acordo","fear"
"acordo","negative"
"acordo","sadness"
"aimless","negative"
"agricultura","anticipation"
"encalhado","disgust"
"encalhado","negative"
"adiante","trust"
"ajuda","positive"
"ajudando","fear"
"ajudando","negative"
"ajudando","surprise"
"ail","fear"
"ail","negative"
"ail","surprise"
"doente","trust"
"sem objetivo","anger"
"sem objetivo","disgust"
"sem objetivo","fear"
"sem objetivo","negative"
"sem objetivo","sadness"
"aeroporto","anticipation"
"aeroporto","fear"
"aeroporto","positive"
"aeroporto","surprise"
"areja","anticipation"
"areja","fear"
"areja","surprise"
"aparentado","disgust"
"aparentado","fear"
"aparentado","negative"
"alabastro","anger"
"alabastro","disgust"
"alabastro","negative"
"alarme","negative"
"alarme","sadness"
"alarmante","anger"
"alarmante","disgust"
"alarmante","fear"
"alarmante","negative"
"alarmante","sadness"
"alva","positive"
"alcoolismo","negative"
"estado de alerta","anticipation"
"estado de alerta","joy"
"estado de alerta","positive"
"estado de alerta","trust"
"alertas","positive"
"estrangeiro","anger"
"estrangeiro","negative"
"alienar","negative"
"alienado","positive"
"alienado","trust"
"alienação","positive"
"alimentação","positive"
"pensão alimentícia","positive"
"vivo","trust"
"aliviar","positive"
"aliviar","trust"
"alegação","positive"
"alega","anticipation"
"alega","joy"
"alega","positive"
"alega","surprise"
"fidelidade","positive"
"allegro","positive"
"allegro","trust"
"aliviar","positive"
"aloha","anticipation"
"aloha","joy"
"aloha","positive"
"alívio","negative"
"aliança","anger"
"aliança","negative"
"aliado","surprise"
"permitido","joy"
"permitido","positive"
"permitido","surprise"
"fascinação","positive"
"fascinação","trust"
"sedutor","negative"
"aliado","anticipation"
"aliado","joy"
"aliado","positive"
"aliado","trust"
"ambulance","fear"
"ambulance","trust"
"todo-poderoso","anger"
"todo-poderoso","fear"
"todo-poderoso","negative"
"todo-poderoso","surprise"
"aloha","positive"
"amen","joy"
"amen","positive"
"amen","trust"
"aloof","positive"
"altercação","positive"
"surpreender","positive"
"Surpreendentemente","positive"
"embaixador","positive"
"ambíguo","joy"
"ambíguo","positive"
"ambição","disgust"
"ambulância","negative"
"emboscada","joy"
"emboscada","positive"
"melhorar","trust"
"um homem","anticipation"
"um homem","joy"
"um homem","positive"
"um homem","trust"
"amável","disgust"
"amável","negative"
"emendar","joy"
"emendar","positive"
"altera","joy"
"altera","positive"
"amenidade","joy"
"amenidade","positive"
"amável","joy"
"amável","positive"
"anaconda","disgust"
"anaconda","fear"
"anaconda","negative"
"amigável","negative"
"amônia","anticipation"
"amônia","positive"
"amônia","trust"
"amnésia","anger"
"amnésia","fear"
"amnésia","negative"
"anistia","anger"
"anistia","fear"
"anistia","negative"
"amortização","anger"
"amortização","fear"
"amortização","negative"
"amour","anger"
"amour","disgust"
"amour","fear"
"amour","negative"
"amour","sadness"
"anfetaminas","trust"
"divertir","positive"
"divertido","positive"
"divertido","sadness"
"diversão","negative"
"divertido","anticipation"
"divertido","joy"
"divertido","positive"
"divertido","surprise"
"divertido","trust"
"angelic","joy"
"angelic","positive"
"angelic","trust"
"anaconda","anger"
"anaconda","negative"
"angina","fear"
"angina","negative"
"anal","anticipation"
"anal","negative"
"analista","anger"
"analista","disgust"
"analista","negative"
"anarquismo","anger"
"anarquismo","fear"
"anarquismo","negative"
"anarquismo","sadness"
"anarquista","positive"
"anarquia","joy"
"anarquia","positive"
"anátema","anger"
"anátema","disgust"
"anátema","fear"
"anátema","negative"
"anátema","sadness"
"ancestral","anger"
"ancestral","negative"
"âncora","anger"
"âncora","fear"
"âncora","negative"
"ancoragem","anger"
"ancoragem","fear"
"ancoragem","negative"
"ancoragem","sadness"
"antigo","anger"
"antigo","fear"
"antigo","negative"
"antigo","sadness"
"anjo","anticipation"
"angélico","anger"
"angélico","disgust"
"angélico","negative"
"raiva","anger"
"raiva","disgust"
"raiva","negative"
"angina","anger"
"angina","negative"
"annul","negative"
"pesca","negative"
"pesca","sadness"
"Bravo","fear"
"Bravo","negative"
"Bravo","surprise"
"angústia","negative"
"animar","trust"
"animado","anger"
"animado","negative"
"antipatia","anger"
"antipatia","negative"
"animus","anger"
"animus","disgust"
"animus","negative"
"aniquilar","disgust"
"aniquilar","fear"
"aniquilar","negative"
"aniquilar","sadness"
"aniquilado","positive"
"aniquilação","anger"
"aniquilação","disgust"
"aniquilação","fear"
"aniquilação","negative"
"anúncio","anticipation"
"incomodar","anticipation"
"aborrecimento","anticipation"
"aborrecimento","positive"
"aborrecimento","trust"
"irritante","positive"
"irritante","trust"
"anular","anger"
"anular","disgust"
"anular","negative"
"anulação","negative"
"anomalia","positive"
"anônimo","positive"
"anônimo","trust"
"responsável","anger"
"responsável","disgust"
"responsável","fear"
"responsável","negative"
"responsável","sadness"
"antithesis","anger"
"antithesis","negative"
"antagonismo","anger"
"antagonismo","anticipation"
"antagonismo","fear"
"antagonismo","negative"
"antagonismo","sadness"
"antagonista","anticipation"
"antagonista","fear"
"antagonista","negative"
"antagônico","fear"
"antagônico","negative"
"antraz","negative"
"antraz","sadness"
"antibióticos","negative"
"antibióticos","sadness"
"anticristo","disgust"
"anticristo","negative"
"antecipação","positive"
"antecipatório","positive"
"antecipatório","trust"
"antídoto","positive"
"antídoto","sadness"
"antídoto","trust"
"antifúngico","positive"
"antipatia","positive"
"antipatia","trust"
"apostolic","trust"
"antiquado","disgust"
"antiquado","fear"
"antiquado","negative"
"Antiguidade","fear"
"Antiguidade","surprise"
"antisséptico","anticipation"
"anti-social","fear"
"anti-social","negative"
"anti-social","sadness"
"antítese","joy"
"antítese","positive"
"antítese","surprise"
"antítese","trust"
"ansiedade","anticipation"
"ansioso","joy"
"ansioso","positive"
"ansioso","trust"
"apache","fear"
"apático","fear"
"apático","negative"
"apatia","anticipation"
"apatia","fear"
"apatia","negative"
"afídio","trust"
"aplomb","anticipation"
"apologético","positive"
"apologético","trust"
"pedir desculpas","negative"
"desculpa","positive"
"apóstolo","joy"
"apóstolo","positive"
"apóstolo","trust"
"apostólico","positive"
"terrível","positive"
"aparição","positive"
"recurso","trust"
"apendicite","anticipation"
"aplauso","trust"
"candidato","anticipation"
"candidato","positive"
"apreciação","negative"
"apreender","trust"
"apreensão","anticipation"
"apreensão","joy"
"apreensão","positive"
"apreensivo","positive"
"Aprendiz","negative"
"Aproximando","anger"
"Aproximando","negative"
"aprovação","anger"
"aprovação","negative"
"apropriação","anger"
"aprovação","negative"
"arguments","anger"
"aprovar","negative"
"aprovar","sadness"
"aprovando","positive"
"apt","positive"
"aptidão","anger"
"aptidão","fear"
"árbitro","fear"
"árbitro","negative"
"arbitragem","anger"
"arbitragem","fear"
"arbitragem","negative"
"arbitragem","positive"
"árbitro","fear"
"árbitro","positive"
"árbitro","trust"
"armored","fear"
"arqueologia","trust"
"arcaico","positive"
"arquitetura","anticipation"
"arquitetura","positive"
"ardente","anger"
"ardente","fear"
"ardente","negative"
"ardente","sadness"
"ardor","positive"
"árduo","negative"
"discutir","negative"
"argumento","anticipation"
"argumentação","anticipation"
"argumentativo","negative"
"argumentos","anger"
"argumentos","disgust"
"argumentos","negative"
"árido","disgust"
"árido","fear"
"árido","negative"
"árido","sadness"
"aristocracia","anger"
"aristocracia","fear"
"aristocracia","negative"
"aristocrático","anticipation"
"aristocrático","joy"
"aristocrático","positive"
"aristocrático","sadness"
"aristocrático","surprise"
"armamento","positive"
"armamentos","positive"
"armado","fear"
"armado","negative"
"armaduras","positive"
"blindado","positive"
"arsenal","positive"
"aroma","positive"
"despertar","positive"
"acusação","negative"
"ashamed","disgust"
"ashamed","negative"
"ashamed","sadness"
"array","negative"
"array","sadness"
"atrasos","fear"
"prender","anticipation"
"prender","joy"
"prender","positive"
"prender","surprise"
"prender","trust"
"chegada","anticipation"
"chegada","joy"
"chegada","positive"
"chegar","anticipation"
"chegar","joy"
"chegar","positive"
"chegar","trust"
"arrogância","negative"
"arrogante","anger"
"arrogante","fear"
"arrogante","negative"
"arrogante","surprise"
"arsênico","anger"
"arsênico","fear"
"arsênico","negative"
"arsênico","sadness"
"incêndio culposo","anger"
"incêndio culposo","fear"
"incêndio culposo","negative"
"incêndio culposo","sadness"
"arte","anger"
"arte","fear"
"arte","negative"
"articular","anger"
"articular","fear"
"articular","negative"
"articular","sadness"
"articulação","anger"
"articulação","fear"
"articulação","negative"
"artilharia","positive"
"artilharia","trust"
"artesão","positive"
"artista","positive"
"artista","trust"
"artístico","surprise"
"artístico","trust"
"ascendência","trust"
"subida","positive"
"cinza","anger"
"cinza","disgust"
"cinza","negative"
"envergonhado","trust"
"cinzas","positive"
"cinzas","trust"
"asp","positive"
"aspiração","positive"
"aspiração","trust"
"aspirar","trust"
"aspirando","positive"
"bunda","positive"
"bunda","trust"
"assaltar","trust"
"assaltante","positive"
"assaltante","trust"
"assassino","trust"
"assassinar","positive"
"assassinar","surprise"
"assassinato","joy"
"assassinato","positive"
"assassinato","surprise"
"assalto","fear"
"assalto","negative"
"montagem","negative"
"assentimento","anticipation"
"assentimento","positive"
"afirmando","positive"
"avaliação","anticipation"
"avaliação","positive"
"assessor","positive"
"ativos","fear"
"ativos","negative"
"Idiota","disgust"
"cessionário","negative"
"assist","fear"
"assist","negative"
"assist","sadness"
"assistência","positive"
"associado","positive"
"Associação","positive"
"assuage","anticipation"
"assuage","joy"
"assuage","positive"
"assuage","trust"
"garantia","positive"
"assegurar","anger"
"assegurar","disgust"
"assegurar","negative"
"Assured","anger"
"Assured","disgust"
"Assured","fear"
"Assured","negative"
"Assured","sadness"
"seguramente","disgust"
"seguramente","fear"
"seguramente","negative"
"seguramente","sadness"
"surpreendentemente","positive"
"espanto","anger"
"espanto","fear"
"espanto","negative"
"perdido","anger"
"perdido","disgust"
"perdido","fear"
"perdido","negative"
"perdido","sadness"
"perdido","surprise"
"adstringente","anticipation"
"adstringente","positive"
"astrólogo","positive"
"astronauta","anticipation"
"astrônomo","anticipation"
"astuto","positive"
"astuto","trust"
"asilo","positive"
"assimetria","positive"
"assimetria","trust"
"ateísmo","negative"
"aterosclerose","negative"
"aterosclerose","sadness"
"atleta","positive"
"atleta","trust"
"Atlético","trust"
"átomo","anger"
"átomo","fear"
"átomo","positive"
"átomo","trust"
"expiar","positive"
"expiação","positive"
"atroz","anticipation"
"atrocidade","negative"
"atrofia","anticipation"
"anexo","fear"
"anexo","trust"
"ataque","positive"
"atacante","positive"
"atingível","positive"
"atingível","trust"
"realização","positive"
"auspicious","anticipation"
"auspicious","joy"
"auspicious","positive"
"tentativa","fear"
"tentativa","negative"
"tentativa","sadness"
"comparecimento","negative"
"atendente","joy"
"atendente","positive"
"atendente","trust"
"atenção","trust"
"atencioso","trust"
"atenuado","positive"
"atenuado","trust"
"atenuação","positive"
"atenuação","trust"
"atestar","positive"
"atestar","trust"
"atestado","positive"
"atestado","trust"
"advogado","positive"
"advogado","trust"
"authorize","trust"
"atração","positive"
"atratividade","negative"
"leilão","trust"
"audácia","disgust"
"audácia","fear"
"audácia","negative"
"audácia","sadness"
"público","fear"
"público","negative"
"público","sadness"
"público","surprise"
"auditor","anger"
"auditor","disgust"
"auditor","negative"
"aumentar","positive"
"agosto","anger"
"agosto","negative"
"tia","anger"
"tia","disgust"
"tia","fear"
"tia","negative"
"aura","anger"
"aura","disgust"
"aura","fear"
"aura","negative"
"auspicioso","fear"
"auspicioso","negative"
"austero","fear"
"austero","negative"
"austeridade","fear"
"autêntico","anticipation"
"autenticar","anticipation"
"autenticar","joy"
"autenticar","positive"
"autenticar","surprise"
"autenticar","trust"
"autenticação","anger"
"autenticação","disgust"
"autenticação","fear"
"autenticação","negative"
"autenticação","sadness"
"autenticidade","disgust"
"autenticidade","negative"
"autor","negative"
"autoritário","trust"
"autoridade","trust"
"autorização","positive"
"autorizar","positive"
"autorizado","negative"
"autocrático","negative"
"automático","disgust"
"automático","negative"
"autópsia","joy"
"autópsia","positive"
"avalanche","trust"
"avareza","positive"
"avatar","anger"
"avatar","positive"
"avatar","trust"
"vingador","trust"
"averso","negative"
"aversão","disgust"
"aversão","negative"
"evitar","negative"
"evitar","sadness"
"evitação","disgust"
"evitação","fear"
"evitação","negative"
"evitação","sadness"
"evitando","disgust"
"evitando","fear"
"evitando","negative"
"aguardam","anger"
"aguardam","disgust"
"aguardam","fear"
"aguardam","negative"
"aguardam","sadness"
"prêmio","trust"
"horrível","anger"
"horrível","negative"
"estranheza","negative"
"estranheza","sadness"
"errado","anger"
"errado","disgust"
"errado","fear"
"errado","negative"
"axioma","fear"
"axioma","negative"
"axioma","trust"
"axiomático","fear"
"axiomático","negative"
"axiomático","trust"
"ay","positive"
"Sim","positive"
"babble","fear"
"babble","negative"
"balbuciando","negative"
"babuíno","positive"
"bebê","positive"
"babá","anticipation"
"babá","positive"
"babá","trust"
"bacharelado","anticipation"
"bacharelado","joy"
"bacharelado","negative"
"bacharelado","positive"
"espinha dorsal","positive"
"apoiador","negative"
"para trás","negative"
"para trás","anger"
"para trás","disgust"
"para trás","fear"
"para trás","negative"
"bang","anger"
"bang","disgust"
"bang","fear"
"bang","negative"
"bang","sadness"
"bang","surprise"
"remanso","anger"
"remanso","anticipation"
"remanso","fear"
"remanso","negative"
"remanso","surprise"
"bactérias","anger"
"bactérias","disgust"
"bactérias","fear"
"bactérias","negative"
"bactérias","sadness"
"bactéria","anger"
"bactéria","fear"
"bactéria","negative"
"bactéria","sadness"
"mau","anger"
"mau","disgust"
"mau","negative"
"mau","sadness"
"distintivo","trust"
"texugo","trust"
"seriamente","fear"
"seriamente","negative"
"seriamente","sadness"
"maldade","anger"
"maldade","disgust"
"maldade","fear"
"maldade","negative"
"maldade","sadness"
"oficial de justiça","anticipation"
"oficial de justiça","joy"
"oficial de justiça","positive"
"isca","anger"
"isca","disgust"
"isca","fear"
"isca","negative"
"isca","sadness"
"equilibrar","positive"
"equilibrado","joy"
"equilibrado","positive"
"fardo","anger"
"fardo","negative"
"balk","fear"
"balk","negative"
"balada","anger"
"balada","disgust"
"balada","fear"
"balada","negative"
"balé","negative"
"cédula","positive"
"bálsamo","disgust"
"bálsamo","positive"
"bálsamo","trust"
"bark","anger"
"bark","negative"
"banimento","negative"
"bandido","negative"
"bandido","sadness"
"bane","fear"
"bane","negative"
"bang","anger"
"bang","negative"
"barrow","disgust"
"banger","trust"
"banir","trust"
"banido","trust"
"banimento","negative"
"basketball","anticipation"
"basketball","joy"
"basketball","positive"
"banco","disgust"
"banco","negative"
"banco","sadness"
"banqueiro","anger"
"banqueiro","positive"
"falido","positive"
"falência","anger"
"banquete","anger"
"banquete","fear"
"banquete","negative"
"alma penada","fear"
"alma penada","negative"
"alma penada","sadness"
"batismo","anger"
"batismo","negative"
"batismal","anger"
"batismal","negative"
"farpa","anger"
"farpa","fear"
"farpa","negative"
"farpa","sadness"
"bárbaro","fear"
"bárbaro","negative"
"bárbaro","negative"
"bayonet","anger"
"bayonet","fear"
"bayonet","negative"
"barbárie","joy"
"bardo","joy"
"bardo","positive"
"vomitar","anticipation"
"vomitar","joy"
"vomitar","positive"
"barganha","anger"
"barganha","fear"
"latido","negative"
"barrado","anger"
"barrado","fear"
"estéril","anger"
"estéril","fear"
"estéril","negative"
"barricada","disgust"
"barricada","fear"
"barricada","negative"
"barreira","anger"
"barreira","fear"
"barreira","negative"
"barreira","sadness"
"carrinho de mão","joy"
"carrinho de mão","positive"
"carrinho de mão","trust"
"barman","joy"
"barman","positive"
"barter","joy"
"barter","positive"
"base","joy"
"base","positive"
"sem fundamento","positive"
"sem fundamento","trust"
"basquetebol","anger"
"basquetebol","fear"
"Desgraçado","joy"
"Desgraçado","positive"
"bastião","negative"
"banho","positive"
"batalhão","joy"
"batalhão","positive"
"batalhão","trust"
"massa","negative"
"massa","sadness"
"maltratado","negative"
"maltratado","sadness"
"bateria","negative"
"batalha","anticipation"
"lutou","fear"
"lutou","negative"
"campo de batalha","negative"
"obsceno","negative"
"baioneta","trust"
"de praia","trust"
"feixe","positive"
"feixe","trust"
"irradiando","anger"
"irradiando","disgust"
"irradiando","fear"
"irradiando","negative"
"irradiando","sadness"
"Urso","anger"
"Urso","fear"
"Urso","negative"
"O portador","anger"
"grosseiro","anger"
"grosseiro","fear"
"grosseiro","negative"
"fera","negative"
"bestial","positive"
"bestial","trust"
"espancamento","positive"
"embelezamento","positive"
"lindo","joy"
"lindo","positive"
"lindo","trust"
"embelezar","joy"
"embelezar","positive"
"beleza","trust"
"base rochosa","negative"
"base rochosa","sadness"
"abelha","negative"
"abelha","sadness"
"Cerveja","negative"
"acontecer","anger"
"acontecer","negative"
"adequado","positive"
"bestial","disgust"
"bestial","fear"
"bestial","negative"
"befriend","anger"
"befriend","disgust"
"befriend","negative"
"befriend","sadness"
"befriend","surprise"
"implorar","anger"
"implorar","disgust"
"implorar","negative"
"implorar","sadness"
"mendigo","anticipation"
"mendigo","joy"
"mendigo","positive"
"mendigo","trust"
"implorando","positive"
"começado","positive"
"gigante","anticipation"
"gigante","fear"
"gigante","negative"
"beholden","fear"
"beholden","negative"
"beholden","surprise"
"atrasado","fear"
"atrasado","surprise"
"acreditava","anger"
"acreditava","negative"
"crente","negative"
"acreditando","positive"
"menosprezar","anger"
"menosprezar","disgust"
"menosprezar","negative"
"beligerante","anticipation"
"fole","fear"
"fole","negative"
"fole","sadness"
"cinto","anger"
"cinto","disgust"
"cinto","fear"
"cinto","negative"
"bender","anger"
"bender","disgust"
"bender","fear"
"bender","negative"
"bender","sadness"
"benfeitor","anger"
"benfeitor","disgust"
"benfeitor","negative"
"benéfico","positive"
"benefício","fear"
"benefício","negative"
"benevolência","anger"
"benevolência","disgust"
"benevolência","fear"
"benevolência","negative"
"benigno","anticipation"
"benigno","fear"
"benigno","joy"
"benigno","positive"
"benigno","trust"
"legado","anticipation"
"legado","joy"
"legado","positive"
"legado","surprise"
"despojado","anger"
"despojado","negative"
"luto","anger"
"luto","disgust"
"luto","fear"
"luto","negative"
"luto","sadness"
"despojado","negative"
"bitterly","anger"
"bitterly","disgust"
"bitterly","negative"
"bitterly","sadness"
"berserk","anger"
"berserk","disgust"
"berserk","negative"
"berserk","sadness"
"atracar","negative"
"atracar","surprise"
"bestial","negative"
"bestial","sadness"
"blackjack","negative"
"trair","anger"
"trair","fear"
"trair","negative"
"traição","fear"
"traição","negative"
"traição","sadness"
"prometida","anger"
"prometida","disgust"
"prometida","negative"
"melhoramento","positive"
"bebida","negative"
"cuidado","trust"
"desnorteado","anger"
"desnorteado","disgust"
"desnorteado","negative"
"perplexidade","anger"
"perplexidade","negative"
"viés","anger"
"viés","fear"
"viés","negative"
"viés","surprise"
"tendencioso","anger"
"tendencioso","disgust"
"tendencioso","negative"
"bíblico","negative"
"brigas","anger"
"brigas","negative"
"bienal","negative"
"bienal","sadness"
"esquife","disgust"
"esquife","fear"
"esquife","negative"
"esquife","sadness"
"intolerante","anger"
"intolerante","disgust"
"intolerante","fear"
"intolerante","negative"
"intolerante","sadness"
"intolerante","anticipation"
"intolerante","joy"
"intolerante","positive"
"intolerante","trust"
"blessed","joy"
"blessed","positive"
"bile","anticipation"
"bile","joy"
"bile","positive"
"bile","trust"
"bilíngue","anticipation"
"bilíngue","joy"
"bilíngue","positive"
"bilíngue","surprise"
"bilíngue","trust"
"biópsia","disgust"
"biópsia","fear"
"biópsia","negative"
"biópsia","sadness"
"bétula","disgust"
"bétula","negative"
"bétula","sadness"
"nascimento","negative"
"aniversário","negative"
"berço","anticipation"
"berço","fear"
"berço","surprise"
"cadela","negative"
"cadela","sadness"
"mordida","negative"
"mordida","sadness"
"amargamente","joy"
"amargamente","positive"
"amargura","joy"
"amargura","positive"
"bizarro","disgust"
"bizarro","negative"
"Preto","surprise"
"blackjack","disgust"
"blackjack","negative"
"blob","disgust"
"blob","fear"
"blob","negative"
"chantagem","anger"
"chantagem","fear"
"chantagem","negative"
"chantagem","sadness"
"negritude","positive"
"culpa","anger"
"culpa","disgust"
"culpa","fear"
"culpa","negative"
"culpa","sadness"
"culpa","surprise"
"sem culpa","anger"
"sem culpa","disgust"
"sem culpa","fear"
"sem culpa","negative"
"brando","anger"
"brando","disgust"
"brando","fear"
"brando","negative"
"brando","sadness"
"cobertor","anticipation"
"cobertor","joy"
"cobertor","positive"
"cobertor","trust"
"blasfemo","joy"
"blasfemo","positive"
"blasfêmia","negative"
"explosão","negative"
"flagrante","negative"
"tagarelice","sadness"
"chama","fear"
"chama","negative"
"chama","sadness"
"sombrio","negative"
"sangrando","disgust"
"sangrando","negative"
"sangrando","sadness"
"defeito","negative"
"abençoe","negative"
"abençoado","negative"
"bênção","anticipation"
"bênçãos","negative"
"bênçãos","positive"
"ferrugem","negative"
"arruinado","positive"
"arruinado","trust"
"cego","negative"
"cego","anger"
"cego","disgust"
"cego","negative"
"boil","disgust"
"boil","negative"
